
Number of training patterns: 800

Initial weights : w5 =   9.5799 w4 =   6.6507 w3 =   2.8357 w2 =   6.3874 w1 =   5.6378 w0 =   5.2085 
Training weights: w5 =   4.3954 w4 =  -0.1833 w3 =  -3.4379 w2 =  -1.7548 w1 =   0.0608 w0 =   4.1716 Iteration 31: Error Rate = 28.12%
Training weights: w5 =   4.3456 w4 =  -0.1730 w3 =  -3.4245 w2 =  -1.7694 w1 =   0.0660 w0 =   4.1691 Iteration 32: Error Rate = 30.88%
Training weights: w5 =   4.3089 w4 =  -0.1578 w3 =  -3.4063 w2 =  -1.7709 w1 =   0.0756 w0 =   4.1677 Iteration 33: Error Rate = 28.50%
Training weights: w5 =   4.2791 w4 =  -0.1404 w3 =  -3.3881 w2 =  -1.7728 w1 =   0.0858 w0 =   4.1665 Iteration 34: Error Rate = 28.00%
Training weights: w5 =   4.2431 w4 =  -0.1263 w3 =  -3.3702 w2 =  -1.7829 w1 =   0.0878 w0 =   4.1648 Iteration 35: Error Rate = 27.88%
Training weights: w5 =   4.2160 w4 =  -0.1053 w3 =  -3.3486 w2 =  -1.7839 w1 =   0.0950 w0 =   4.1641 Iteration 36: Error Rate = 25.88%
Training weights: w5 =   4.1814 w4 =  -0.0835 w3 =  -3.3225 w2 =  -1.7832 w1 =   0.1087 w0 =   4.1632 Iteration 37: Error Rate = 30.88%
Training weights: w5 =   4.1442 w4 =  -0.0711 w3 =  -3.3067 w2 =  -1.7884 w1 =   0.1156 w0 =   4.1616 Iteration 38: Error Rate = 27.00%
Training weights: w5 =   4.1051 w4 =  -0.0505 w3 =  -3.2830 w2 =  -1.7886 w1 =   0.1349 w0 =   4.1608 Iteration 39: Error Rate = 30.25%
Training weights: w5 =   4.0550 w4 =  -0.0456 w3 =  -3.2739 w2 =  -1.8062 w1 =   0.1303 w0 =   4.1578 Iteration 40: Error Rate = 28.75%
Training weights: w5 =   4.0160 w4 =  -0.0369 w3 =  -3.2590 w2 =  -1.8150 w1 =   0.1285 w0 =   4.1555 Iteration 41: Error Rate = 28.62%
Training weights: w5 =   3.9902 w4 =  -0.0024 w3 =  -3.2255 w2 =  -1.8032 w1 =   0.1479 w0 =   4.1561 Iteration 42: Error Rate = 30.25%
Training weights: w5 =   3.9593 w4 =   0.0187 w3 =  -3.2079 w2 =  -1.8003 w1 =   0.1629 w0 =   4.1555 Iteration 43: Error Rate = 28.25%
Training weights: w5 =   3.9154 w4 =   0.0311 w3 =  -3.1891 w2 =  -1.8111 w1 =   0.1639 w0 =   4.1535 Iteration 44: Error Rate = 28.50%
Training weights: w5 =   3.8730 w4 =   0.0432 w3 =  -3.1712 w2 =  -1.8200 w1 =   0.1593 w0 =   4.1513 Iteration 45: Error Rate = 30.00%
Training weights: w5 =   3.8437 w4 =   0.0633 w3 =  -3.1458 w2 =  -1.8167 w1 =   0.1786 w0 =   4.1510 Iteration 46: Error Rate = 26.38%
Training weights: w5 =   3.8048 w4 =   0.0729 w3 =  -3.1238 w2 =  -1.8276 w1 =   0.1837 w0 =   4.1491 Iteration 47: Error Rate = 27.12%
Training weights: w5 =   3.7848 w4 =   0.1084 w3 =  -3.0840 w2 =  -1.8106 w1 =   0.2054 w0 =   4.1501 Iteration 48: Error Rate = 29.50%
Training weights: w5 =   3.7596 w4 =   0.1369 w3 =  -3.0571 w2 =  -1.8003 w1 =   0.2250 w0 =   4.1503 Iteration 49: Error Rate = 28.50%
Training weights: w5 =   3.7272 w4 =   0.1509 w3 =  -3.0391 w2 =  -1.8061 w1 =   0.2272 w0 =   4.1488 Iteration 50: Error Rate = 26.12%
Training weights: w5 =   3.6854 w4 =   0.1627 w3 =  -3.0246 w2 =  -1.8139 w1 =   0.2308 w0 =   4.1466 Iteration 51: Error Rate = 29.50%
Training weights: w5 =   3.6322 w4 =   0.1578 w3 =  -3.0185 w2 =  -1.8362 w1 =   0.2239 w0 =   4.1428 Iteration 52: Error Rate = 27.50%
Training weights: w5 =   3.5778 w4 =   0.1585 w3 =  -3.0107 w2 =  -1.8551 w1 =   0.2221 w0 =   4.1394 Iteration 53: Error Rate = 28.75%
Training weights: w5 =   3.5579 w4 =   0.1847 w3 =  -2.9823 w2 =  -1.8421 w1 =   0.2342 w0 =   4.1397 Iteration 54: Error Rate = 26.88%
Training weights: w5 =   3.5348 w4 =   0.2056 w3 =  -2.9590 w2 =  -1.8371 w1 =   0.2397 w0 =   4.1393 Iteration 55: Error Rate = 24.25%
Training weights: w5 =   3.5003 w4 =   0.2227 w3 =  -2.9390 w2 =  -1.8369 w1 =   0.2487 w0 =   4.1383 Iteration 56: Error Rate = 27.50%
Training weights: w5 =   3.4662 w4 =   0.2493 w3 =  -2.9136 w2 =  -1.8305 w1 =   0.2677 w0 =   4.1381 Iteration 57: Error Rate = 30.00%
Training weights: w5 =   3.4404 w4 =   0.2687 w3 =  -2.8861 w2 =  -1.8251 w1 =   0.2782 w0 =   4.1375 Iteration 58: Error Rate = 27.75%
Training weights: w5 =   3.4014 w4 =   0.2897 w3 =  -2.8592 w2 =  -1.8261 w1 =   0.2915 w0 =   4.1365 Iteration 59: Error Rate = 30.25%
Training weights: w5 =   3.3635 w4 =   0.3011 w3 =  -2.8381 w2 =  -1.8320 w1 =   0.2906 w0 =   4.1347 Iteration 60: Error Rate = 28.00%
Training weights: w5 =   3.3244 w4 =   0.3102 w3 =  -2.8249 w2 =  -1.8396 w1 =   0.2879 w0 =   4.1326 Iteration 61: Error Rate = 25.88%
Training weights: w5 =   3.2739 w4 =   0.3104 w3 =  -2.8164 w2 =  -1.8570 w1 =   0.2807 w0 =   4.1295 Iteration 62: Error Rate = 25.62%
Training weights: w5 =   3.2443 w4 =   0.3258 w3 =  -2.7885 w2 =  -1.8583 w1 =   0.2914 w0 =   4.1285 Iteration 63: Error Rate = 27.50%
Training weights: w5 =   3.2261 w4 =   0.3575 w3 =  -2.7587 w2 =  -1.8416 w1 =   0.3102 w0 =   4.1296 Iteration 64: Error Rate = 25.38%
Training weights: w5 =   3.1860 w4 =   0.3724 w3 =  -2.7469 w2 =  -1.8464 w1 =   0.3170 w0 =   4.1280 Iteration 65: Error Rate = 28.25%
Training weights: w5 =   3.1493 w4 =   0.3827 w3 =  -2.7316 w2 =  -1.8528 w1 =   0.3164 w0 =   4.1262 Iteration 66: Error Rate = 25.25%
Training weights: w5 =   3.1104 w4 =   0.3974 w3 =  -2.7141 w2 =  -1.8555 w1 =   0.3243 w0 =   4.1249 Iteration 67: Error Rate = 26.62%
Training weights: w5 =   3.0727 w4 =   0.4103 w3 =  -2.6892 w2 =  -1.8566 w1 =   0.3339 w0 =   4.1236 Iteration 68: Error Rate = 28.38%
Training weights: w5 =   3.0354 w4 =   0.4248 w3 =  -2.6648 w2 =  -1.8605 w1 =   0.3331 w0 =   4.1223 Iteration 69: Error Rate = 27.12%
Training weights: w5 =   2.9923 w4 =   0.4256 w3 =  -2.6515 w2 =  -1.8726 w1 =   0.3273 w0 =   4.1192 Iteration 70: Error Rate = 28.62%
Training weights: w5 =   2.9780 w4 =   0.4513 w3 =  -2.6209 w2 =  -1.8589 w1 =   0.3426 w0 =   4.1199 Iteration 71: Error Rate = 24.62%
Training weights: w5 =   2.9466 w4 =   0.4681 w3 =  -2.5958 w2 =  -1.8631 w1 =   0.3498 w0 =   4.1187 Iteration 72: Error Rate = 26.50%
Training weights: w5 =   2.9154 w4 =   0.4849 w3 =  -2.5679 w2 =  -1.8651 w1 =   0.3525 w0 =   4.1177 Iteration 73: Error Rate = 28.00%
Training weights: w5 =   2.8768 w4 =   0.4988 w3 =  -2.5456 w2 =  -1.8637 w1 =   0.3578 w0 =   4.1163 Iteration 74: Error Rate = 28.25%
Training weights: w5 =   2.8283 w4 =   0.4985 w3 =  -2.5421 w2 =  -1.8801 w1 =   0.3518 w0 =   4.1131 Iteration 75: Error Rate = 25.25%
Training weights: w5 =   2.8001 w4 =   0.5173 w3 =  -2.5153 w2 =  -1.8756 w1 =   0.3640 w0 =   4.1126 Iteration 76: Error Rate = 25.38%
Training weights: w5 =   2.7769 w4 =   0.5454 w3 =  -2.4870 w2 =  -1.8640 w1 =   0.3763 w0 =   4.1125 Iteration 77: Error Rate = 28.88%
Training weights: w5 =   2.7281 w4 =   0.5419 w3 =  -2.4785 w2 =  -1.8835 w1 =   0.3641 w0 =   4.1089 Iteration 78: Error Rate = 25.50%
Training weights: w5 =   2.6928 w4 =   0.5543 w3 =  -2.4611 w2 =  -1.8861 w1 =   0.3713 w0 =   4.1074 Iteration 79: Error Rate = 27.38%
Training weights: w5 =   2.6487 w4 =   0.5618 w3 =  -2.4490 w2 =  -1.8938 w1 =   0.3681 w0 =   4.1051 Iteration 80: Error Rate = 26.62%
Training weights: w5 =   2.5993 w4 =   0.5656 w3 =  -2.4389 w2 =  -1.9104 w1 =   0.3611 w0 =   4.1021 Iteration 81: Error Rate = 27.00%
Training weights: w5 =   2.5843 w4 =   0.5976 w3 =  -2.4023 w2 =  -1.8923 w1 =   0.3746 w0 =   4.1029 Iteration 82: Error Rate = 27.50%
Training weights: w5 =   2.5671 w4 =   0.6282 w3 =  -2.3701 w2 =  -1.8729 w1 =   0.3983 w0 =   4.1039 Iteration 83: Error Rate = 25.75%
Training weights: w5 =   2.5397 w4 =   0.6485 w3 =  -2.3457 w2 =  -1.8668 w1 =   0.4090 w0 =   4.1037 Iteration 84: Error Rate = 24.25%
Training weights: w5 =   2.5104 w4 =   0.6688 w3 =  -2.3228 w2 =  -1.8628 w1 =   0.4149 w0 =   4.1031 Iteration 85: Error Rate = 26.00%
Training weights: w5 =   2.4670 w4 =   0.6787 w3 =  -2.2994 w2 =  -1.8696 w1 =   0.4250 w0 =   4.1014 Iteration 86: Error Rate = 28.38%
Training weights: w5 =   2.4237 w4 =   0.6745 w3 =  -2.2876 w2 =  -1.8863 w1 =   0.4144 w0 =   4.0978 Iteration 87: Error Rate = 26.38%
Training weights: w5 =   2.3940 w4 =   0.6922 w3 =  -2.2639 w2 =  -1.8779 w1 =   0.4244 w0 =   4.0971 Iteration 88: Error Rate = 25.12%
Training weights: w5 =   2.3648 w4 =   0.7123 w3 =  -2.2380 w2 =  -1.8720 w1 =   0.4339 w0 =   4.0966 Iteration 89: Error Rate = 26.38%
Training weights: w5 =   2.3394 w4 =   0.7251 w3 =  -2.2179 w2 =  -1.8711 w1 =   0.4395 w0 =   4.0957 Iteration 90: Error Rate = 24.12%
Training weights: w5 =   2.3020 w4 =   0.7310 w3 =  -2.2002 w2 =  -1.8777 w1 =   0.4349 w0 =   4.0935 Iteration 91: Error Rate = 26.00%
Training weights: w5 =   2.2652 w4 =   0.7431 w3 =  -2.1776 w2 =  -1.8802 w1 =   0.4445 w0 =   4.0920 Iteration 92: Error Rate = 27.12%
Training weights: w5 =   2.2059 w4 =   0.7232 w3 =  -2.1839 w2 =  -1.9129 w1 =   0.4184 w0 =   4.0867 Iteration 93: Error Rate = 25.12%
Training weights: w5 =   2.1746 w4 =   0.7348 w3 =  -2.1603 w2 =  -1.9163 w1 =   0.4228 w0 =   4.0855 Iteration 94: Error Rate = 24.25%
Training weights: w5 =   2.1574 w4 =   0.7575 w3 =  -2.1286 w2 =  -1.9027 w1 =   0.4335 w0 =   4.0860 Iteration 95: Error Rate = 24.38%
Training weights: w5 =   2.1472 w4 =   0.7878 w3 =  -2.0922 w2 =  -1.8817 w1 =   0.4524 w0 =   4.0873 Iteration 96: Error Rate = 23.62%
Training weights: w5 =   2.1033 w4 =   0.7817 w3 =  -2.0845 w2 =  -1.8977 w1 =   0.4452 w0 =   4.0840 Iteration 97: Error Rate = 23.88%
Training weights: w5 =   2.0732 w4 =   0.7917 w3 =  -2.0610 w2 =  -1.9019 w1 =   0.4445 w0 =   4.0823 Iteration 98: Error Rate = 25.12%
Training weights: w5 =   2.0553 w4 =   0.8193 w3 =  -2.0286 w2 =  -1.8896 w1 =   0.4570 w0 =   4.0829 Iteration 99: Error Rate = 24.50%
Training weights: w5 =   2.0258 w4 =   0.8250 w3 =  -2.0163 w2 =  -1.8950 w1 =   0.4558 w0 =   4.0813 Iteration 100: Error Rate = 20.75%
Training weights: w5 =   1.9929 w4 =   0.8477 w3 =  -1.9835 w2 =  -1.8886 w1 =   0.4617 w0 =   4.0810 Iteration 101: Error Rate = 27.62%
Training weights: w5 =   1.9468 w4 =   0.8408 w3 =  -1.9788 w2 =  -1.9032 w1 =   0.4505 w0 =   4.0775 Iteration 102: Error Rate = 25.12%
Training weights: w5 =   1.9308 w4 =   0.8665 w3 =  -1.9488 w2 =  -1.8894 w1 =   0.4626 w0 =   4.0782 Iteration 103: Error Rate = 22.38%
Training weights: w5 =   1.8913 w4 =   0.8693 w3 =  -1.9393 w2 =  -1.8976 w1 =   0.4529 w0 =   4.0757 Iteration 104: Error Rate = 24.62%
Training weights: w5 =   1.8605 w4 =   0.8744 w3 =  -1.9226 w2 =  -1.9041 w1 =   0.4490 w0 =   4.0737 Iteration 105: Error Rate = 25.75%
Training weights: w5 =   1.8234 w4 =   0.8766 w3 =  -1.9133 w2 =  -1.9140 w1 =   0.4435 w0 =   4.0711 Iteration 106: Error Rate = 23.25%
Training weights: w5 =   1.7977 w4 =   0.8961 w3 =  -1.8843 w2 =  -1.9057 w1 =   0.4551 w0 =   4.0710 Iteration 107: Error Rate = 25.12%
Training weights: w5 =   1.7756 w4 =   0.9133 w3 =  -1.8593 w2 =  -1.8975 w1 =   0.4560 w0 =   4.0702 Iteration 108: Error Rate = 27.00%
Training weights: w5 =   1.7427 w4 =   0.9197 w3 =  -1.8413 w2 =  -1.9018 w1 =   0.4561 w0 =   4.0683 Iteration 109: Error Rate = 25.62%
Training weights: w5 =   1.7146 w4 =   0.9372 w3 =  -1.8142 w2 =  -1.8965 w1 =   0.4601 w0 =   4.0674 Iteration 110: Error Rate = 27.62%
Training weights: w5 =   1.6975 w4 =   0.9567 w3 =  -1.7870 w2 =  -1.8849 w1 =   0.4662 w0 =   4.0672 Iteration 111: Error Rate = 24.75%
Training weights: w5 =   1.6692 w4 =   0.9720 w3 =  -1.7612 w2 =  -1.8789 w1 =   0.4749 w0 =   4.0664 Iteration 112: Error Rate = 25.75%
Training weights: w5 =   1.6250 w4 =   0.9614 w3 =  -1.7525 w2 =  -1.8975 w1 =   0.4603 w0 =   4.0626 Iteration 113: Error Rate = 25.00%
Training weights: w5 =   1.5897 w4 =   0.9704 w3 =  -1.7368 w2 =  -1.9009 w1 =   0.4568 w0 =   4.0607 Iteration 114: Error Rate = 28.12%
Training weights: w5 =   1.5714 w4 =   0.9854 w3 =  -1.7085 w2 =  -1.8967 w1 =   0.4640 w0 =   4.0604 Iteration 115: Error Rate = 22.88%
Training weights: w5 =   1.5320 w4 =   0.9760 w3 =  -1.7014 w2 =  -1.9145 w1 =   0.4510 w0 =   4.0569 Iteration 116: Error Rate = 22.62%
Training weights: w5 =   1.5103 w4 =   1.0023 w3 =  -1.6708 w2 =  -1.9010 w1 =   0.4636 w0 =   4.0573 Iteration 117: Error Rate = 24.25%
Training weights: w5 =   1.4729 w4 =   0.9974 w3 =  -1.6587 w2 =  -1.9119 w1 =   0.4522 w0 =   4.0544 Iteration 118: Error Rate = 26.12%
Training weights: w5 =   1.4455 w4 =   1.0017 w3 =  -1.6446 w2 =  -1.9158 w1 =   0.4481 w0 =   4.0528 Iteration 119: Error Rate = 20.75%
Training weights: w5 =   1.4246 w4 =   1.0191 w3 =  -1.6160 w2 =  -1.9054 w1 =   0.4573 w0 =   4.0525 Iteration 120: Error Rate = 24.38%
Training weights: w5 =   1.4024 w4 =   1.0335 w3 =  -1.5885 w2 =  -1.8983 w1 =   0.4622 w0 =   4.0520 Iteration 121: Error Rate = 23.12%
Training weights: w5 =   1.3735 w4 =   1.0335 w3 =  -1.5719 w2 =  -1.9037 w1 =   0.4560 w0 =   4.0498 Iteration 122: Error Rate = 25.00%
Training weights: w5 =   1.3515 w4 =   1.0367 w3 =  -1.5536 w2 =  -1.9058 w1 =   0.4450 w0 =   4.0480 Iteration 123: Error Rate = 22.25%
Training weights: w5 =   1.3308 w4 =   1.0454 w3 =  -1.5298 w2 =  -1.9011 w1 =   0.4472 w0 =   4.0470 Iteration 124: Error Rate = 24.50%
Training weights: w5 =   1.2975 w4 =   1.0401 w3 =  -1.5193 w2 =  -1.9097 w1 =   0.4332 w0 =   4.0442 Iteration 125: Error Rate = 23.75%
Training weights: w5 =   1.2826 w4 =   1.0575 w3 =  -1.4937 w2 =  -1.8993 w1 =   0.4432 w0 =   4.0443 Iteration 126: Error Rate = 21.62%
Training weights: w5 =   1.2538 w4 =   1.0536 w3 =  -1.4800 w2 =  -1.9062 w1 =   0.4385 w0 =   4.0421 Iteration 127: Error Rate = 21.75%
Training weights: w5 =   1.2257 w4 =   1.0601 w3 =  -1.4578 w2 =  -1.9085 w1 =   0.4399 w0 =   4.0407 Iteration 128: Error Rate = 23.50%
Training weights: w5 =   1.2126 w4 =   1.0714 w3 =  -1.4310 w2 =  -1.9010 w1 =   0.4422 w0 =   4.0403 Iteration 129: Error Rate = 22.00%
Training weights: w5 =   1.1911 w4 =   1.0748 w3 =  -1.4102 w2 =  -1.8995 w1 =   0.4375 w0 =   4.0390 Iteration 130: Error Rate = 21.38%
Training weights: w5 =   1.1643 w4 =   1.0720 w3 =  -1.3968 w2 =  -1.9043 w1 =   0.4247 w0 =   4.0367 Iteration 131: Error Rate = 22.38%
Training weights: w5 =   1.1586 w4 =   1.0926 w3 =  -1.3615 w2 =  -1.8862 w1 =   0.4385 w0 =   4.0375 Iteration 132: Error Rate = 23.00%
Training weights: w5 =   1.1238 w4 =   1.0926 w3 =  -1.3493 w2 =  -1.8921 w1 =   0.4237 w0 =   4.0348 Iteration 133: Error Rate = 25.62%
Training weights: w5 =   1.0978 w4 =   1.1010 w3 =  -1.3243 w2 =  -1.8895 w1 =   0.4296 w0 =   4.0337 Iteration 134: Error Rate = 24.38%
Training weights: w5 =   1.0959 w4 =   1.1190 w3 =  -1.2928 w2 =  -1.8717 w1 =   0.4320 w0 =   4.0339 Iteration 135: Error Rate = 22.00%
Training weights: w5 =   1.0541 w4 =   1.1061 w3 =  -1.2885 w2 =  -1.8895 w1 =   0.4126 w0 =   4.0300 Iteration 136: Error Rate = 24.62%
Training weights: w5 =   1.0321 w4 =   1.1047 w3 =  -1.2700 w2 =  -1.8932 w1 =   0.4037 w0 =   4.0280 Iteration 137: Error Rate = 24.25%
Training weights: w5 =   1.0134 w4 =   1.1124 w3 =  -1.2491 w2 =  -1.8899 w1 =   0.4034 w0 =   4.0268 Iteration 138: Error Rate = 22.38%
Training weights: w5 =   0.9902 w4 =   1.1181 w3 =  -1.2291 w2 =  -1.8879 w1 =   0.4008 w0 =   4.0256 Iteration 139: Error Rate = 21.75%
Training weights: w5 =   0.9713 w4 =   1.1260 w3 =  -1.2118 w2 =  -1.8821 w1 =   0.4056 w0 =   4.0247 Iteration 140: Error Rate = 20.88%
Training weights: w5 =   0.9535 w4 =   1.1340 w3 =  -1.1879 w2 =  -1.8776 w1 =   0.4025 w0 =   4.0235 Iteration 141: Error Rate = 24.25%
Training weights: w5 =   0.9322 w4 =   1.1394 w3 =  -1.1658 w2 =  -1.8738 w1 =   0.3931 w0 =   4.0219 Iteration 142: Error Rate = 25.25%
Training weights: w5 =   0.9124 w4 =   1.1410 w3 =  -1.1468 w2 =  -1.8719 w1 =   0.3879 w0 =   4.0202 Iteration 143: Error Rate = 24.88%
Training weights: w5 =   0.8931 w4 =   1.1429 w3 =  -1.1259 w2 =  -1.8692 w1 =   0.3858 w0 =   4.0185 Iteration 144: Error Rate = 23.88%
Training weights: w5 =   0.8742 w4 =   1.1431 w3 =  -1.1089 w2 =  -1.8685 w1 =   0.3753 w0 =   4.0168 Iteration 145: Error Rate = 22.88%
Training weights: w5 =   0.8600 w4 =   1.1395 w3 =  -1.0947 w2 =  -1.8687 w1 =   0.3656 w0 =   4.0147 Iteration 146: Error Rate = 22.88%
Training weights: w5 =   0.8486 w4 =   1.1456 w3 =  -1.0712 w2 =  -1.8620 w1 =   0.3667 w0 =   4.0139 Iteration 147: Error Rate = 22.00%
Training weights: w5 =   0.8212 w4 =   1.1400 w3 =  -1.0619 w2 =  -1.8680 w1 =   0.3560 w0 =   4.0111 Iteration 148: Error Rate = 24.00%
Training weights: w5 =   0.7955 w4 =   1.1350 w3 =  -1.0532 w2 =  -1.8766 w1 =   0.3395 w0 =   4.0085 Iteration 149: Error Rate = 21.50%
Training weights: w5 =   0.7891 w4 =   1.1593 w3 =  -1.0152 w2 =  -1.8563 w1 =   0.3523 w0 =   4.0094 Iteration 150: Error Rate = 24.62%
Training weights: w5 =   0.7629 w4 =   1.1603 w3 =  -1.0004 w2 =  -1.8581 w1 =   0.3421 w0 =   4.0073 Iteration 151: Error Rate = 23.38%
Training weights: w5 =   0.7409 w4 =   1.1682 w3 =  -0.9714 w2 =  -1.8544 w1 =   0.3398 w0 =   4.0059 Iteration 152: Error Rate = 27.00%
Training weights: w5 =   0.7324 w4 =   1.1733 w3 =  -0.9498 w2 =  -1.8481 w1 =   0.3334 w0 =   4.0047 Iteration 153: Error Rate = 22.50%
Training weights: w5 =   0.7125 w4 =   1.1688 w3 =  -0.9366 w2 =  -1.8518 w1 =   0.3209 w0 =   4.0024 Iteration 154: Error Rate = 21.88%
Training weights: w5 =   0.6984 w4 =   1.1648 w3 =  -0.9186 w2 =  -1.8527 w1 =   0.3148 w0 =   4.0005 Iteration 155: Error Rate = 22.38%
Training weights: w5 =   0.6880 w4 =   1.1716 w3 =  -0.8918 w2 =  -1.8432 w1 =   0.3144 w0 =   3.9995 Iteration 156: Error Rate = 25.25%
Training weights: w5 =   0.6622 w4 =   1.1587 w3 =  -0.8864 w2 =  -1.8540 w1 =   0.3000 w0 =   3.9964 Iteration 157: Error Rate = 20.88%
Training weights: w5 =   0.6543 w4 =   1.1708 w3 =  -0.8599 w2 =  -1.8393 w1 =   0.3027 w0 =   3.9961 Iteration 158: Error Rate = 23.88%
Training weights: w5 =   0.6467 w4 =   1.1686 w3 =  -0.8483 w2 =  -1.8356 w1 =   0.2933 w0 =   3.9942 Iteration 159: Error Rate = 22.12%
Training weights: w5 =   0.6375 w4 =   1.1689 w3 =  -0.8266 w2 =  -1.8292 w1 =   0.2900 w0 =   3.9928 Iteration 160: Error Rate = 23.00%
